"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 20:39:46 GMT 2023","Fri Mar 31 20:39:57 GMT 2023","10646","","Cadastro de usuario","","Envio de formulario com email invalido","","Envio de formulario com email invalido","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:39:57 GMT 2023","Fri Mar 31 20:40:10 GMT 2023","13159","","Cadastro de usuario","","Envio de formulario com email invalido","","Envio de formulario com email invalido","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:38:53 GMT 2023","Fri Mar 31 20:39:08 GMT 2023","14589","","Login","","Cenarios alternativas para login","","Cenarios alternativas para login","  - Eu como usuario devo poder realizar login na plataforma."
"passed","Fri Mar 31 20:40:35 GMT 2023","Fri Mar 31 20:40:55 GMT 2023","20094","","Steps de suporte","","Login suporte","","Login suporte","  - Esta feature tem como objetivo dar suporte para outros cenarios que tenha
  como premissa realizar login no aplicativo."
"passed","Fri Mar 31 20:39:08 GMT 2023","Fri Mar 31 20:39:20 GMT 2023","11589","","Login","","Cenarios alternativas para login","","Cenarios alternativas para login","  - Eu como usuario devo poder realizar login na plataforma."
"passed","Fri Mar 31 20:40:55 GMT 2023","Fri Mar 31 20:41:30 GMT 2023","35357","","Compra de um produtos","","Compra de um produto","","Compra de um produto","  - Eu como usuario devo poder realizar a compra de um produto de minha escolha no site."
"passed","Fri Mar 31 20:39:33 GMT 2023","Fri Mar 31 20:39:46 GMT 2023","13017","","Cadastro de usuario","","Envio de formulario com email invalido","","Envio de formulario com email invalido","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:39:20 GMT 2023","Fri Mar 31 20:39:33 GMT 2023","13284","","Cadastro de usuario","","Cadastro com sucesso","","Cadastro com sucesso","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:40:10 GMT 2023","Fri Mar 31 20:40:21 GMT 2023","10821","","Cadastro de usuario","","Envio de formulario com email invalido","","Envio de formulario com email invalido","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:40:21 GMT 2023","Fri Mar 31 20:40:35 GMT 2023","14082","","Cadastro de usuario","","Envio de formulario com email invalido","","Envio de formulario com email invalido","  - Eu como usuario devo poder me cadastrar na plataforma."
"passed","Fri Mar 31 20:38:36 GMT 2023","Fri Mar 31 20:38:53 GMT 2023","17427","","Login","","Login sucesso","","Login sucesso","  - Eu como usuario devo poder realizar login na plataforma."
